time	input_value	encoder
223.4	101.79	292789
223.6	102.79	293192
223.8	103.79	293597
224	104.79	294005
224.2	105.79	294415
224.4	106.79	294828
224.6	107.79	295241
224.8	108.79	295656
225	109.8	296074
225.2	110.8	296492
225.4	111.8	296911
225.6	112.8	297333
225.8	113.8	297756
226	114.8	298181
226.2	115.8	298607
226.4	116.8	299036
226.6	117.8	299465
226.8	118.8	299896
227	119.8	300329
227.2	120.8	300764
227.4	121.8	301198
227.6	122.8	301635
227.8	123.8	302073
228	124.8	302512
228.2	125.8	302952
228.4	126.8	303394
228.6	127.8	303837
228.8	128.8	304282
229	129.8	304727
229.2	130.8	305174
229.4	131.8	305622
229.6	132.8	306071
229.8	133.8	306521
230	134.8	306973
230.2	135.79	307425
230.4	136.79	307878
230.6	137.79	308333
230.8	138.79	308787
231	139.79	309245
231.2	140.79	309701
231.4	141.79	310160
231.6	142.79	310619
231.8	143.79	311080
232	144.79	311542
232.2	145.79	312004
232.4	146.79	312468
232.6	147.79	312931
232.8	148.79	313396
233	149.79	313861
233.2	150.79	314327
233.4	151.79	314795
233.6	152.79	315263
233.8	153.78	315731
234	154.78	316202
234.2	155.78	316672
234.4	156.78	317141
234.6	157.78	317614
234.8	158.78	318086
235	159.78	318559
235.2	160.78	319035
235.4	161.78	319511
235.6	162.78	319987
235.8	163.78	320465
236	164.78	320942
236.2	165.78	321418
236.4	166.78	321897
236.6	167.78	322375
236.8	168.78	322855
237	169.78	323333
237.2	170.78	323818
237.4	171.77	324298
237.6	172.77	324779
237.8	173.77	325263
238	174.77	325746
238.2	175.77	326231
238.4	176.77	326714
238.6	177.77	327199
238.8	178.77	327684
239	179.77	328171
239.2	180.77	328658
239.4	181.77	329145
239.6	182.77	329634
239.8	183.77	330124
240	184.77	330612
240.2	185.77	331102
240.4	186.77	331592
240.6	187.77	332083
240.8	188.77	332575
241	189.76	333067
241.2	190.76	333560
241.4	191.76	334053
241.6	192.76	334545
241.8	193.76	335039
242	194.76	335533
242.2	195.76	336027
242.4	196.76	336523
242.6	197.76	337018
242.8	198.76	337514
243	199.76	338009
243.2	200.76	338506
243.4	201.76	339004
243.6	202.76	339501
243.8	203.76	339999
244	204.76	340498
244.2	205.76	340997
244.4	206.76	341495
244.6	207.76	341995
244.8	208.75	342496
245	209.75	342996
245.2	210.75	343495
245.4	211.75	343996
245.6	212.75	344497
245.8	213.75	344998
246	214.75	345500
246.2	215.75	346002
246.4	216.75	346505
246.6	217.75	347009
246.8	218.75	347512
247	219.75	348017
247.2	220.75	348521
247.4	221.75	349026
247.6	222.75	349535
247.8	223.75	350041
248	224.75	350548
248.2	225.75	351053
248.4	226.74	351560
248.6	227.74	352066
248.8	228.74	352575
249	229.74	353081
249.2	230.74	353591
249.4	231.74	354101
249.6	232.74	354608
249.8	233.74	355118
250	234.74	355626
250.2	235.74	356137
250.4	236.74	356647
250.6	237.74	357158
250.8	238.74	357669
251	239.74	358178
251.2	240.74	358691
251.4	241.74	359203
251.6	242.74	359714
251.8	243.74	360228
252	244.73	360740
252.2	245.73	361256
252.4	246.73	361768
252.6	247.73	362282
252.8	248.73	362797
253	249.73	363313
253.2	250.73	363826
253.4	251.73	364338
253.6	252.73	364854
253.8	253.73	365372
254	254.73	365892
254.2	0.72	366392
254.4	1.72	366807
254.6	2.72	367142
254.8	3.72	367407
255	4.72	367606
255.2	5.72	367748
255.4	6.72	367842
255.6	7.72	367890
255.8	8.72	367899
256	9.72	367899
256.2	10.72	367899
256.4	11.72	367899
256.6	12.72	367899
256.8	13.72	367899
257	14.72	367899
257.2	15.72	367899
257.4	16.72	367899
257.6	17.72	367899
257.8	18.72	367899
258	19.72	367899
258.2	20.72	367899
258.4	21.72	367899
258.6	22.72	367899
258.8	23.72	367899
259	24.72	367899
259.2	25.72	367899
259.4	26.72	367899
259.6	27.72	367899
259.8	28.72	367899
260	29.72	367899
260.2	30.72	367899
260.4	31.72	367899
260.6	32.72	367899
260.8	33.72	367899
261	34.72	367899
261.2	35.72	367899
261.4	36.72	367899
261.6	37.72	367899
261.8	38.72	367899
262	39.72	367899
262.2	40.72	367920
262.4	41.72	367980
262.6	42.72	368068
262.8	43.72	368179
263	44.72	368308
263.2	45.72	368452
263.4	46.72	368609
263.6	47.72	368776
263.8	48.72	368953
264	49.72	369140
264.2	50.72	369336
264.4	51.72	369539
264.6	52.72	369750
264.8	53.72	369969
265	54.72	370193
265.2	55.72	370425
265.4	56.72	370661
265.6	57.72	370904
265.8	58.72	371152
266	59.72	371407
266.2	60.72	371666
266.4	61.72	371932
266.6	62.72	372207
266.8	63.72	372484
267	64.72	372765
267.2	65.72	373052
267.4	66.72	373345
267.6	67.72	373642
267.8	68.72	373943
268	69.72	374246
268.2	70.72	374554
268.4	71.72	374865
268.6	72.72	375181
268.8	73.72	375503
269	74.72	375826
269.2	75.72	376153
269.4	76.72	376485
269.6	77.72	376823
269.8	78.72	377160
270	79.72	377503
270.2	80.72	377848
270.4	81.72	378196
270.6	82.72	378547
270.8	83.72	378901
271	84.72	379260
271.2	85.72	379619
271.4	86.72	379983
271.6	87.72	380350
271.8	88.72	380719
272	89.72	381094
272.2	90.72	381468
272.4	91.72	381846
272.6	92.72	382227
272.8	93.72	382609
273	94.72	382996
273.2	95.72	383383
273.4	96.72	383774
273.6	97.72	384168
273.8	98.72	384564
274	99.72	384959
274.2	100.72	385360
274.4	101.72	385761
274.6	102.72	386166
274.8	103.72	386571
275	104.72	386979
275.2	105.72	387390
275.4	106.72	387802
275.6	107.72	388216
275.8	108.72	388632
276	109.73	389051
276.2	110.73	389468
276.4	111.73	389889
276.6	112.73	390311
276.8	113.73	390736
277	114.73	391164
277.2	115.73	391590
277.4	116.73	392019
277.6	117.73	392450
277.8	118.73	392880
278	119.73	393314
278.2	120.73	393748
278.4	121.73	394185
278.6	122.73	394623
278.8	123.73	395063
279	124.73	395503
279.2	125.73	395947
279.4	126.73	396387
279.6	127.73	396831
279.8	128.73	397277
280	129.73	397723
280.2	130.73	398171
280.4	131.73	398620
280.6	132.73	399071
280.8	133.73	399521
281	134.73	399973
281.2	135.72	400428
281.4	136.72	400882
281.6	137.72	401336
281.8	138.72	401791
282	139.72	402249
282.2	140.72	402706
282.4	141.72	403165
282.6	142.72	403625
282.8	143.72	404090
283	144.72	404550
283.2	145.72	405014
283.4	146.72	405477
283.6	147.72	405939
283.8	148.72	406404
284	149.72	406870
284.2	150.72	407336
284.4	151.72	407804
284.6	152.72	408271
284.8	153.71	408741
285	154.71	409211
285.2	155.71	409682
285.4	156.71	410153
285.6	157.71	410627
285.8	158.71	411099
286	159.71	411574
286.2	160.71	412048
286.4	161.71	412524
286.6	162.71	413001
286.8	163.71	413477
287	164.71	413956
287.2	165.71	414433
287.4	166.71	414911
287.6	167.71	415391
287.8	168.71	415872
288	169.71	416355
288.2	170.71	416835
288.4	171.7	417318
288.6	172.7	417801
288.8	173.7	418285
289	174.7	418768
289.2	175.7	419254
289.4	176.7	419738
289.6	177.7	420224
289.8	178.7	420710
290	179.7	421196
290.2	180.7	421683
290.4	181.7	422172
290.6	182.7	422660
290.8	183.7	423149
291	184.7	423639
291.2	185.7	424130
291.4	186.7	424619
291.6	187.7	425111
291.8	188.7	425603
292	189.7	426096
292.2	190.69	426590
292.4	191.69	427085
292.6	192.69	427578
292.8	193.69	428071
293	194.69	428566
293.2	195.69	429062
293.4	196.69	429560
293.6	197.69	430054
293.8	198.69	430551
294	199.69	431050
294.2	200.69	431547
294.4	201.69	432049
294.6	202.69	432548
294.8	203.69	433046
295	204.69	433547
295.2	205.69	434047
295.4	206.69	434547
295.6	207.69	435048
295.8	208.68	435549
296	209.68	436050
296.2	210.68	436551
296.4	211.68	437054
296.6	212.68	437556
296.8	213.68	438057
297	214.68	438563
297.2	215.68	439066
297.4	216.68	439571
297.6	217.68	440074
297.8	218.68	440581
298	219.68	441087
298.2	220.68	441593
298.4	221.68	442098
298.6	222.68	442605
298.8	223.68	443114
299	224.68	443623
299.2	225.68	444130
299.4	226.67	444639
299.6	227.67	445147
299.8	228.67	445654
300	229.67	446161
300.2	230.67	446669
300.4	231.67	447179
300.6	232.67	447685
300.8	233.67	448197
301	234.67	448707
301.2	235.67	449215
301.4	236.67	449727
301.6	237.67	450237
301.8	238.67	450748
302	239.67	451257
302.2	240.67	451770
302.4	241.67	452283
302.6	242.67	452794
302.8	243.67	453309
303	244.66	453823
303.2	245.66	454335
303.4	246.66	454850
303.6	247.66	455365
303.8	248.66	455879
304	249.66	456392
304.2	250.66	456905
304.4	251.66	457421
304.6	252.66	457936
304.8	253.66	458454
305	254.66	458977
305.2	0.65	459480
305.4	1.65	459903
305.6	2.65	460244
305.8	3.65	460513
306	4.65	460720
306.2	5.65	460869
306.4	6.65	460967
306.6	7.65	461020
306.8	8.65	461035
307	9.65	461035
307.2	10.65	461035
307.4	11.65	461035
307.6	12.65	461035
307.8	13.65	461035
308	14.65	461035
308.2	15.65	461035
308.4	16.65	461035
308.6	17.65	461035
308.8	18.65	461035
309	19.65	461035
309.2	20.65	461035
309.4	21.65	461035
309.6	22.65	461035
309.8	23.65	461035
310	24.65	461035
310.2	25.65	461035
310.4	26.65	461035
310.6	27.65	461035
310.8	28.65	461035
311	29.65	461035
311.2	30.65	461035
311.4	31.65	461035
311.6	32.65	461035
311.8	33.65	461035
312	34.65	461035
312.2	35.65	461035
312.4	36.65	461035
312.6	37.65	461035
312.8	38.65	461035
313	39.65	461036
313.2	40.65	461064
313.4	41.65	461128
313.6	42.65	461221
313.8	43.65	461335
314	44.65	461467
314.2	45.65	461614
314.4	46.65	461772
314.6	47.65	461942
314.8	48.65	462122
315	49.65	462312
315.2	50.65	462510
315.4	51.65	462715
315.6	52.65	462928
315.8	53.65	463148
316	54.65	463375
316.2	55.65	463608
316.4	56.65	463846
316.6	57.65	464090
316.8	58.65	464340
317	59.65	464595
317.2	60.65	464856
317.4	61.65	465121
317.6	62.65	465390
317.8	63.65	465663
318	64.65	465944
318.2	65.65	466230
318.4	66.65	466519
